id;species;category;light;difficulty;humidity;temperature;toxicity;cycle;waterSummer;waterWinter;fertilizeFreq;repotFreq;sowingMonths;plantingMonths;harvestMonths;repottingMonths;pruningMonths;winteringMonths;soilInfo;pruningInfo
155;Ludisia Discolor;indoor;partial;medium;high;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Cultivée pour son feuillage pourpre velouté, pas pour ses fleurs.
156;Astrophytum;indoor;direct;medium;low;semiHardy;none;perennial;15;0;60;48;;;;4,5;;11,12,1,2;Très minéral (calcaire).;Cactus sans épines, forme géométrique parfaite.
157;Peperomia Caperata;indoor;partial;easy;medium;frostTender;none;perennial;7;14;45;24;;;;3,4;;11,12,1,2;Léger.;Feuilles très texturées, existe en vert, rouge ou gris.
158;Jacinthe;indoor;brightInd;easy;medium;hardy;high;perennial;0;5;0;0;;;;9,1;;;Terreau ou eau (carafe).;Parfum très puissant. Après floraison, planter au jardin.
159;Agave;indoor;direct;easy;low;semiHardy;low;perennial;10;30;60;36;;;;3,4;;11,12,1,2;Drainant.;Attention à l'épine terminale très acérée.
160;Gasteria;indoor;partial;easy;low;frostTender;none;perennial;10;25;60;36;;;;3,4;;11,12,1,2;Terreau pour cactus.;Cousine de l'Aloé, supporte beaucoup mieux l'ombre.
161;Blechnum;indoor;partial;medium;high;frostTender;none;perennial;3;7;30;24;;;;3,4;;11,12,1,2;Acide et frais.;Forme un petit tronc avec l'âge.
162;Pilea Glauca;indoor;brightInd;medium;medium;frostTender;none;perennial;4;8;30;12;;;;3,4;;11,12,1,2;Léger.;Cascades de minuscules feuilles gris-argenté.
163;Eucalyptus;indoor;direct;hard;medium;hardy;high;perennial;3;10;30;24;;;;3,4;;11,12,1,2;Drainant.;Difficile en intérieur, sèche vite. Odeur mentholée.
164;Chrysanthème;outdoor;direct;easy;medium;hardy;low;perennial;3;10;15;12;;;;3,4;3,11;11,12,1,2;Terreau riche.;La star de l'automne, existe en mille couleurs.
165;Coriandre;vegetable;partial;medium;medium;frostTender;none;annual;3;0;15;0;;;;;;;Léger.;Monte vite en graines s'il fait trop chaud.
166;Ananas;indoor;brightInd;easy;medium;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau broméliacées.;Le fruit est comestible (mais petit). La plante meurt après, laissant des rejets.
167;Ixora;indoor;brightInd;hard;high;frostTender;none;perennial;3;7;15;24;;;;3,4;;11,12,1,2;Acide (terre de bruyère).;Arbuste à fleurs magnifiques, demande beaucoup d'humidité.
168;Euphorbia Milii;indoor;direct;easy;low;frostTender;high;perennial;10;20;30;36;;;;3,4;;11,12,1,2;Drainant.;Fleurit presque toute l'année si elle a du soleil.
169;Opuntia Microdasys;indoor;direct;easy;low;semiHardy;low;perennial;15;45;60;24;;;;3,4;;11,12,1,2;Sableux.;Attention, pas d'épines mais des glochides irritants.
170;Ledebouria;indoor;brightInd;easy;medium;frostTender;high;perennial;7;14;60;24;;;;3,4;;11,12,1,2;Drainant.;Plante à bulbe très prolifique, feuilles léopard.
171;Dischidia;indoor;partial;medium;medium;frostTender;none;perennial;7;14;60;24;;;;3,4;;11,12,1,2;Écorces et terreau.;Cousine des Hoya, feuilles rondes comme des pièces.
172;Hatiora;indoor;brightInd;easy;medium;frostTender;none;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Léger.;Tiges composées de petits segments en forme de bouteille.
173;Selaginella;indoor;low;hard;high;frostTender;none;perennial;2;5;30;12;;;;3,4;;11,12,1,2;Terreau humide.;Idéale en terrarium fermé, déteste l'air sec.
174;Cyrtomium;indoor;low;easy;medium;hardy;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Fougère aux feuilles coriaces et brillantes, très robuste.
175;Pellaea;indoor;partial;medium;medium;semiHardy;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Drainant.;Feuilles rondes vert sombre, supporte un peu de sécheresse.
176;Tolmiea;indoor;partial;easy;medium;hardy;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Frais.;De nouvelles plantes poussent directement sur les feuilles des anciennes.
177;Sempervivum;outdoor;direct;easy;low;veryHardy;none;perennial;10;0;90;36;;;;3,4;5,6,9;11,12,1,2;Rocailleux.;Plante d'extérieur increvable, meurt en intérieur (manque de froid/lumière).
178;Portulacaria Afra;indoor;direct;easy;low;frostTender;none;perennial;10;25;60;24;;;;3,4;;11,12,1,2;Drainant.;Souvent confondue avec l'Arbre de Jade, mais tiges rouges et feuilles plus petites.
179;Senecio Cephalophorus;indoor;direct;easy;low;frostTender;low;perennial;15;40;60;24;;;;3,4;;11,12,1,2;Terreau pour cactus.;Feuillage gris-bleu très intense.
180;Plumeria;indoor;direct;hard;medium;frostTender;low;perennial;5;30;15;24;;;;3,4;;11,12,1,2;Drainant.;Perd ses feuilles en hiver. Très sensible aux acariens.
181;Gerbera;indoor;brightInd;medium;medium;frostTender;none;perennial;3;10;15;12;;;;3,4;;11,12,1,2;Terreau plantes fleuries.;Grosses fleurs très colorées, idéales pour égayer une pièce.
182;Lys;indoor;brightInd;medium;medium;hardy;high;perennial;3;0;15;12;;;;3,4;;10,11;Riche.;Mortellement toxique pour les chats (le pollen suffit). Bulbille.
183;Lantana;outdoor;direct;easy;medium;frostTender;high;perennial;3;15;15;24;;;;3,4;3,4;11,12,1,2;Drainant.;Les fleurs changent de couleur en vieillissant.
184;Philodendron Xanadu;indoor;partial;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Riche et drainant.;Ne grimpe pas, forme une touffe dense de feuilles découpées.
185;Epipremnum Neon;indoor;brightInd;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Universel.;Feuillage vert fluo éclatant, demande plus de lumière que le pothos classique.
186;Tephrocactus;indoor;direct;medium;low;semiHardy;none;perennial;15;45;60;36;;;;3,4;;11,12,1,2;Minéral.;Curieux cactus aux épines plates et flexibles comme du papier.
187;Ctenanthe;indoor;partial;medium;high;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Humide et léger.;Cousine des Calathea, plus robuste et compacte.
188;Stevia;vegetable;brightInd;medium;medium;frostTender;none;perennial;2;7;30;12;;;;3,4;4;11,12,1,2;Léger.;Feuilles au goût sucré intense, substitut naturel au sucre.
189;Callistemon;outdoor;direct;medium;medium;semiHardy;none;perennial;3;10;30;24;;;;3,4;4,9;11,12,1,2;Non calcaire.;Fleurs rouges originales ressemblant à un goupillon.
190;Ferocactus;indoor;direct;easy;low;semiHardy;none;perennial;20;0;60;48;;;;3,4;;11,12,1,2;Minéral.;Grosses épines rouges ou jaunes crochues.
191;Solanum;indoor;brightInd;medium;medium;frostTender;high;annual;3;7;15;0;;;;3;;11,12;Riche.;Baies oranges décoratives très toxiques. Souvent jeté après Noël.
192;Rebutia;indoor;brightInd;easy;low;semiHardy;none;perennial;10;0;30;24;;;;3,4;;11,12,1,2;Terreau pour cactus.;Petit cactus globulaire qui fleurit très facilement (fleurs rouges/oranges).
193;Jasmine Sambac;indoor;direct;medium;medium;frostTender;none;perennial;3;10;15;24;;;;3,4;;11,12,1,2;Riche.;Le jasmin utilisé pour parfumer le thé. Fleur blanche très odorante.
194;Kalanchoe Tomentosa;indoor;brightInd;easy;low;frostTender;low;perennial;10;25;60;24;;;;3,4;;11,12,1,2;Drainant.;Feuilles recouvertes d'un duvet gris très doux avec des pointes marron.
195;Cactus;indoor;direct;easy;low;semiHardy;low;perennial;15;0;60;36;;;;3,4,5;;11,12,1,2;Terreau pour cactus (très sableux).;Cette fiche couvre la majorité des cactus épineux (Mammillaria, Cereus, Echinocactus...). L'ennemi n°1 est l'excès d'eau : stoppez tout arrosage en hiver.
196;Succulente;indoor;brightInd;easy;low;frostTender;low;perennial;10;30;60;24;;;;3,4;;11,12,1,2;Terreau pour cactus et succulentes.;Concerne les plantes aux feuilles charnues sans épines. Arrosez uniquement quand la terre est totalement sèche. Si les feuilles flétrissent, elle a soif. Si elles deviennent molles/noires, trop d'eau.
197;Pommier;vegetable;direct;medium;medium;veryHardy;none;perennial;15;0;365;0;;;;11,12,1,2,3;12, 1, 2;;Terre profonde et argileuse.;Taille de fructification en fin d'hiver, hors gel.
198;Poirier;vegetable;direct;medium;medium;veryHardy;none;perennial;15;0;365;0;;;;11,12,1,2,3;12, 1, 2;;Terre riche et profonde.;Supprimer les branches qui se croisent au centre.
199;Cerisier;vegetable;direct;easy;medium;hardy;none;perennial;20;0;365;0;;;;11,12;7, 8;;Tout type de sol, même calcaire.;Taille légère après la récolte (été) pour éviter la gommose.
200;Prunier;vegetable;direct;easy;medium;veryHardy;none;perennial;15;0;365;0;;;;11,12,1,2,3;7, 8;;Sols légers et profonds.;N'aime pas être taillé sévèrement.
201;Pêcher;vegetable;direct;hard;medium;semiHardy;none;perennial;25;0;180;0;;;;11,2,3;2, 3;;Léger et drainant, craint le calcaire.;Sensible à la cloque du pêcher. Tailler juste avant la floraison.
202;Abricotier;vegetable;direct;medium;low;hardy;none;perennial;15;0;365;0;;;;11,12,1,2,3;7, 8;;Drainant et chaud.;Fleurit tôt, craint les gelées tardives.
203;Noyer;vegetable;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11;7, 8, 12;;Profond.;Ne rien faire planter sous un noyer. Tailler en automne pour éviter l'écoulement de sève.
204;Noisetier;vegetable;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,12,1,2;12, 1, 2;;Ordinaire.;Supprimer les vieux bois pour aérer la touffe.
205;Erable du Japon;outdoor;partial;medium;high;hardy;none;perennial;15;5;180;36;;;;11,3;11,12;;Terre de bruyère (acide).;Craint le soleil brûlant et le vent sec. Taille très légère.
206;Bouleau;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,12,1,2,3;7,8;;Pauvre et sableux.;Écorce blanche décorative. Arbre pionnier à croissance rapide.
207;Chêne;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11;11,12;;Profond.;Symbole de force. Demande beaucoup d'espace.
208;Saule Pleureur;outdoor;direct;easy;high;veryHardy;none;perennial;30;10;0;0;;;;11,3;11,12;;Humide, voire détrempé.;Idéal près d'une pièce d'eau. Racines traçantes puissantes.
209;Tilleul;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11;11,12;;Frais et profond.;Fleurs parfumées utilisées en infusion.
210;Albizia;outdoor;direct;medium;medium;semiHardy;none;perennial;15;0;0;0;;;;3,4,5;3,4;;Drainant.;Fleurs roses plumeuses en été. Feuillage léger qui se ferme la nuit.
211;Magnolia;outdoor;partial;medium;medium;hardy;none;perennial;20;0;365;0;;;;11,3,4;5,6;;Acide et riche (Terre de bruyère).;Fleurs spectaculaires. Tailler après la floraison si nécessaire.
212;Lilas;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;365;0;;;;10,11,12;5,6;;Ordinaire, même calcaire.;Couper les fleurs fanées juste après la floraison pour garantir celle de l'an prochain.
213;Mimosa d'hiver;outdoor;direct;medium;low;semiHardy;none;perennial;10;0;0;0;;;;3,4;3,4;;Acide et drainant.;Fleurit en hiver (pompons jaunes). Tailler après la floraison.
214;Ginkgo Biloba;outdoor;direct;easy;medium;veryHardy;none;perennial;15;0;0;0;;;;11,3;11,12;;Ordinaire.;Feuillage jaune d'or superbe en automne. Très résistant à la pollution.
215;Lilas des Indes;outdoor;direct;medium;medium;semiHardy;none;perennial;20;0;180;0;;;;11,3;3;12,1;Riche et drainant.;Fleurit tout l'été. Tailler court en fin d'hiver pour avoir de belles grappes.
216;Thuya;outdoor;direct;easy;medium;veryHardy;low;perennial;15;5;180;0;;;;10,11,3,4;4,9;;Ordinaire.;Le classique des haies. Tailler deux fois par an pour garder dense.
217;Cyprès de Leyland;outdoor;direct;easy;medium;veryHardy;low;perennial;15;5;180;0;;;;10,11,3,4;4,9;;Tout sol.;Croissance très rapide (occultant). Attention aux allergies.
218;Sapin de Noël;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,12;12;;Frais et acide.;Ne se taille généralement pas (port naturel pyramidal).
219;Pin Parasol;outdoor;direct;medium;low;semiHardy;none;perennial;5;0;0;0;;;;10,11;11,12;;Sableux et sec.;Emblème de la méditerranée. Produit des pignons comestibles.
220;Photinia;outdoor;direct;easy;medium;hardy;none;perennial;15;0;180;0;;;;10,11,3,4;3,6,9;;Ordinaire.;Jeunes pousses rouge vif. Idéal en haie.
221;Laurier Palme;outdoor;partial;easy;medium;veryHardy;high;perennial;10;0;0;0;;;;10,11,3;4,9;;Ordinaire.;Haie dense et persistante. Attention, baies toxiques.
222;Forsythia;outdoor;direct;easy;medium;veryHardy;none;perennial;10;0;365;0;;;;10,11,3;4,5;;Ordinaire.;Annonce le printemps avec ses fleurs jaunes. Tailler sévèrement juste après la fin des fleurs.
223;Houx;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;3,9;;Frais.;Symbole de l'hiver avec ses boules rouges. Supporte très bien la taille topiaire.
224;Buis;outdoor;partial;medium;medium;veryHardy;low;perennial;10;0;180;0;;;;10,11,3;4,6,9;;Calcaire.;Le roi de la topiaire (boules, cônes). Attention à la pyrale du buis (chenille).
225;Sureau;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;11;2,3;;Riche.;Les fleurs se cuisinent en beignets ou sirop. Attire les oiseaux.
226;Glycine;outdoor;direct;medium;medium;hardy;low;perennial;10;0;365;0;;;;11,3;2,7,8;;Pauvre et sableux.;Liane très vigoureuse (peut tordre les grilles). Tailler court en hiver pour favoriser les fleurs.
227;Vigne;vegetable;direct;medium;medium;hardy;none;perennial;10;0;365;0;;;;11,12,1,2,3;11, 12, 1, 2, 7;;Calcaire et caillouteux.;Taille complexe mais indispensable pour avoir du raisin.
228;Cyprès de Provence;outdoor;direct;easy;low;semiHardy;none;perennial;5;0;0;0;;;;10,11,3,4;4,9;;Sec et pauvre.;Forme colonnaire très étroite, typique des paysages toscans.
229;Cèdre;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;11;11,12;;Profond.;Arbre majestueux nécessitant un grand parc. Ne pas étêter.
230;If;outdoor;partial;easy;medium;veryHardy;high;perennial;10;0;0;0;;;;10,11,3;3,4,9;;Calcaire.;Croissance lente mais vit très vieux. Tout est toxique sauf la chair rouge de la baie.
231;Charme;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11;2,3,7,8;;Frais.;Ses feuilles sèches restent sur l'arbre en hiver (marcescent). Excellent brise-vue.
232;Marronnier;outdoor;direct;easy;medium;veryHardy;low;perennial;15;0;0;0;;;;11;11,12;;Profond.;Arbre d'alignement classique. Le marron n'est pas comestible (contrairement à la châtaigne).
233;Platane;outdoor;direct;easy;medium;veryHardy;none;perennial;15;0;0;0;;;;11;11,12;;Tout sol.;Supporte les tailles drastiques. Écorce qui pèle par plaques.
234;Hêtre;outdoor;partial;easy;medium;veryHardy;none;perennial;15;0;0;0;;;;11;2,3,7,8;;Drainant, n'aime pas l'eau stagnante.;Grand arbre de forêt à écorce grise lisse.
235;Peuplier;outdoor;direct;easy;high;veryHardy;none;perennial;20;0;0;0;;;;11;11,12;;Humide.;Croissance très rapide. Système racinaire puissant, à planter loin des maisons.
236;Eucalyptus (Extérieur);outdoor;direct;medium;medium;semiHardy;low;perennial;15;0;0;0;;;;3,4;3,4;;Drainant.;Feuillage persistant bleuté très décoratif. Tailler en cépée pour le garder petit.
237;Catalpa;outdoor;direct;easy;medium;hardy;none;perennial;15;0;0;0;;;;11;11,12;;Ordinaire.;Grandes feuilles en cœur qui font beaucoup d'ombre. Éloigne les moustiques.
238;Paulownia;outdoor;direct;easy;medium;hardy;none;perennial;20;0;0;0;;;;11,3;11,12;;Ordinaire.;Croissance la plus rapide au monde. Fleurs violettes spectaculaires au printemps.
239;Liquidambar;outdoor;direct;medium;medium;hardy;none;perennial;15;0;0;0;;;;11;11,12;;Non calcaire et profond.;L'un des plus beaux feuillages rouges d'automne.
240;Tamaris;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;11,3;3,4;;Sableux, supporte le sel.;Idéal en bord de mer. Feuillage vaporeux.
241;Arbousier;vegetable;direct;medium;low;semiHardy;none;perennial;10;0;0;0;;;;10,11,3;3, 4;;Drainant.;Persistant. Porte ses fruits rouges comestibles et ses fleurs en même temps.
242;Viorne;outdoor;partial;easy;medium;veryHardy;low;perennial;15;0;365;0;;;;10,11,3;4;;Frais.;Floraison blanche spectaculaire au printemps. Attire les pucerons (plante relais).
243;Cognassier;vegetable;direct;easy;medium;veryHardy;none;perennial;10;0;365;0;;;;11,12;12, 1, 2;;Tout sol.;Rustique et peu sensible aux maladies. Les fruits se consomment cuits.
244;Rosier Grimpant;outdoor;direct;medium;medium;veryHardy;none;perennial;10;0;90;0;;;;11,2,3;2,3,7,8;;Riche.;Ne pas tailler les branches charpentières. Courber les tiges pour favoriser la floraison.
245;Buddleia;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;10,11,3;3,4;;Pauvre et caillouteux.;Attire énormément les papillons. Tailler très court en mars pour le rajeunir.
246;Seringat;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;365;0;;;;11,3;5,6;;Ordinaire.;Fleurs blanches au parfum enivrant. Tailler juste après la floraison.
247;Weigela;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;365;0;;;;11,3;5,6;;Frais.;Fleurs en trompettes roses/rouges. Tailler après la floraison pour garder la forme.
248;Althea;outdoor;direct;easy;medium;hardy;none;perennial;10;0;0;0;;;;11,3;3,4;;Tout sol.;Fleurit tout l'été. Très résistant à la sécheresse une fois installé.
249;Spirée;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,3;4,6;;Ordinaire.;Surnommée 'Neige de printemps' pour sa floraison blanche abondante.
250;Hortensia Paniculé;outdoor;direct;easy;medium;veryHardy;low;perennial;15;0;180;0;;;;11,3;2,3;;Moins exigeant que l'hortensia classique.;Supporte le soleil. Tailler court en mars (fleurit sur le bois de l'année).
251;Deutzia;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;11,3;5,6;;Ordinaire.;Nuée de petites fleurs. Très rustique.
252;Pyracantha;outdoor;partial;easy;medium;veryHardy;medium;perennial;5;0;0;0;;;;10,11,3;3,9;;Ordinaire.;Haie défensive redoutable (épines). Baies oranges décoratives en hiver.
253;Eleagnus;outdoor;partial;easy;medium;hardy;none;perennial;5;0;0;0;;;;10,11,3;3,9;;Pauvre et sec.;La haie persistante par excellence. Parfum subtil en automne.
254;Aucuba;outdoor;low;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;3,9;;Ordinaire.;Feuilles tachetées de jaune. Idéal pour éclairer un coin d'ombre.
255;Fusain du Japon;outdoor;partial;easy;medium;hardy;low;perennial;10;0;180;0;;;;10,11,3;3,4,9;;Ordinaire.;Souvent panaché jaune ou blanc. Alternative au buis en bord de mer.
256;Mahonia;outdoor;low;easy;medium;veryHardy;low;perennial;5;0;0;0;;;;10,11;4;;Ordinaire.;Fleurs jaunes en hiver/printemps suivies de baies bleues. Pique un peu.
257;Cotoneaster;outdoor;direct;easy;low;veryHardy;low;perennial;5;0;0;0;;;;10,11,3;3,4;;Pauvre.;Couvre-sol excellent ou haie. Baies rouges persistantes en hiver.
258;Pittosporum;outdoor;direct;medium;low;semiHardy;none;perennial;10;0;0;0;;;;3,4;3,9;12,1;Drainant.;Feuillage persistant vert sombre. Fleurs sentant la fleur d'oranger.
259;Chèvrefeuille;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;10,11,3;3,9;;Frais.;Grimpante au parfum puissant. Idéal pour couvrir un grillage.
260;Jasmin Étoilé;outdoor;direct;medium;medium;semiHardy;low;perennial;15;0;180;0;;;;3,4,5;3,4,9;;Drainant.;Feuillage persistant (reste vert l'hiver). Fleurs blanches très parfumées.
261;Bignone;outdoor;direct;easy;low;hardy;low;perennial;10;0;0;0;;;;10,11,3;3,4;;Tout sol.;Grosse fleurs oranges en trompette. S'accroche seule aux murs.
262;Vigne Vierge;outdoor;partial;easy;medium;veryHardy;low;perennial;5;0;0;0;;;;10,11;11,12;;Ordinaire.;Couvre les façades. Devient rouge flamboyant en automne avant de perdre ses feuilles.
263;Pivoine;outdoor;direct;medium;medium;veryHardy;low;perennial;10;0;90;0;;;;9,1;9,1;;Profond et riche.;Déteste être déplacée. Enormes fleurs au printemps.
264;Rose Trémière;outdoor;direct;easy;medium;hardy;none;biennial;5;0;0;0;;;;3,4,9,10;10;;Pauvre et caillouteux.;La plante des îles (Ré, Oléron). Se ressème toute seule.
265;Lupin;outdoor;partial;medium;medium;hardy;high;perennial;10;0;0;0;;;;9,10,3;6,7;;Non calcaire.;Grands épis colorés. Couper la hampe fanée pour une remontée en automne.
266;Agapanthe;outdoor;direct;medium;low;semiHardy;low;perennial;15;0;30;0;;;;3,4;9,1;11,12,1,2;Riche et drainant.;Grosses boules bleues ou blanches. Aime avoir les racines serrées.
267;Hosta;outdoor;low;easy;high;veryHardy;none;perennial;15;0;0;0;;;;3,4,9;11;;Frais et riche.;Reine de l'ombre. Attention aux limaces qui dévorent les feuilles.
268;Heuchère;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;4,9;;Frais.;Feuillage persistant coloré (pourpre, caramel, vert pomme).
269;Astilbe;outdoor;partial;medium;high;veryHardy;none;perennial;20;0;0;0;;;;3,4;3,4,11;;Humide.;Plumets vaporeux pour les zones ombragées et humides.
270;Géranium Vivace;outdoor;partial;easy;medium;veryHardy;none;perennial;10;0;0;0;;;;3,4,9;6,7;;Ordinaire.;Couvre-sol increvable, différent des géraniums de balcon (Pelargonium).
271;Anémone du Japon;outdoor;partial;easy;medium;veryHardy;low;perennial;10;0;0;0;;;;3,4;11;;Frais.;Fleurit en fin d'été/automne. Envahissante une fois installée.
272;Millepertuis;outdoor;partial;easy;medium;veryHardy;low;perennial;5;0;0;0;;;;10,11,3;3,4;;Tout sol.;Couvre-sol à fleurs jaunes. Très robuste, supporte la pollution.
273;Pervenche;outdoor;low;easy;medium;veryHardy;low;perennial;5;0;0;0;;;;3,4,9,10;4,9;;Ordinaire.;Tapis vert persistant à fleurs bleues. Idéal sous les arbres.
274;Aubriète;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;9,10,3;4,5;;Sec et calcaire.;Plante de rocaille qui forme des coussins violets au printemps.
275;Campanule des murs;outdoor;partial;easy;low;veryHardy;none;perennial;5;0;0;0;;;;9,10,3;6,7;;Drainant.;Pousse dans les interstices de murs et pavés.
276;Œillet Mignardise;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4,9;9;;Sec et calcaire.;Fleurs parfumées, feuillage gris bleuté persistant.
277;Bruyère d'hiver;outdoor;direct;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;3,4,9;4;;Acide (terre de bruyère).;Fleurit sous la neige. Tailler après la floraison pour garder compact.
278;Tulipe;outdoor;direct;medium;medium;hardy;low;perennial;0;0;0;0;;;;9,10,11;6;;Drainant.;Important : ne couper le feuillage que lorsqu'il est totalement jaune (pour recharger le bulbe).
279;Narcisse;outdoor;partial;easy;medium;veryHardy;low;perennial;0;0;0;0;;;;9,10,11;6;;Ordinaire.;Se naturalise bien (revient chaque année plus nombreux). Toxique.
280;Crocus;outdoor;direct;easy;medium;veryHardy;none;perennial;0;0;0;0;;;;9,10,11;4;;Drainant.;L'un des premiers à fleurir en fin d'hiver. Idéal dans la pelouse.
281;Dahlia;outdoor;direct;medium;medium;frostTender;none;perennial;15;0;30;0;;;;4,5;11;11,12,1,2;Riche.;Gélif : il faut déterrer les tubercules en novembre et les stocker à la cave.
282;Iris;outdoor;direct;easy;low;veryHardy;low;perennial;0;0;0;0;;;;7,8;7,8;;Sec et calcaire.;Planter le rhizome affleurant le sol (dos au soleil). Couper les feuilles en pointe en fin d'été.
283;Glaïeul;outdoor;direct;medium;medium;frostTender;none;perennial;10;0;0;0;;;;4,5;10,11;11,12,1,2;Léger.;Fleur à couper majestueuse. Rentrer les bulbes (cormes) en hiver.
284;Canna;outdoor;direct;medium;high;frostTender;none;perennial;20;0;15;0;;;;4,5;11;11,12,1,2;Riche.;Feuillage tropical géant. Doit être hiverné hors gel.
285;Bégonia Annuel;outdoor;partial;easy;medium;frostTender;none;annual;10;0;15;0;;;;5;6,7;;Ordinaire.;Utilisé en massif municipal. Craint le gel, souvent jeté en fin de saison.
286;Pétunia;outdoor;direct;medium;medium;frostTender;none;annual;20;0;7;0;;;;4,5;6,7;;Riche.;La reine des suspensions. Gourmande en eau et engrais.
287;Œillet d'Inde;outdoor;direct;easy;medium;frostTender;low;annual;10;0;0;0;;;;4,5;6,7;;Ordinaire.;Compagnon idéal des tomates au potager (éloigne les nématodes).
288;Cosmos;outdoor;direct;easy;medium;frostTender;none;annual;5;0;0;0;;;;4,5;6,7;;Pauvre.;Fleurs légères qui dansent au vent. Se sème facilement.
289;Zinnia;outdoor;direct;easy;medium;frostTender;none;annual;10;0;15;0;;;;5;6,7;;Riche.;Couleurs très vives, excellente tenue en vase.
290;Capucine;outdoor;direct;easy;medium;frostTender;none;annual;5;0;0;0;;;;4,5;6,7;;Pauvre.;Tout se mange (fleurs et feuilles au goût poivré). Attire les pucerons loin des autres plantes.
291;Pensée;outdoor;partial;easy;medium;hardy;none;biennial;5;0;0;0;;;;9,10,3;6,7;;Frais.;Fleurit en automne et en hiver quand tout le reste dort.
292;Gaura;outdoor;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4;3,4;;Drainant.;Fleurs blanches ou roses ressemblant à des papillons. Rabattre au sol en mars.
293;Fétuque Bleue;outdoor;direct;easy;low;veryHardy;none;perennial;5;0;0;0;;;;3,4,9;3,4;;Pauvre et sec.;Petite graminée en boule bleue très graphique. Peigner pour retirer les feuilles mortes.
294;Herbe de la Pampa;outdoor;direct;easy;medium;hardy;low;perennial;10;0;0;0;;;;3,4;3,4;11,12,1;Ordinaire.;Plumeaux géants. Feuilles coupantes comme des rasoirs, attention. Envahissante.
295;Coquelicot;outdoor;direct;easy;low;hardy;low;annual;0;0;0;0;;;;;6;;Tout sol remué.;Symbole de la campagne. Se sème à la volée.
296;Tournesol;outdoor;direct;easy;medium;frostTender;none;annual;15;0;15;0;;;;4,5;6,7;;Riche.;Pivote pour suivre le soleil. Les graines nourrissent les oiseaux en hiver.
297;Muguet;outdoor;partial;easy;medium;veryHardy;high;perennial;5;0;0;0;;;;9,1;11;;Frais.;Porte-bonheur du 1er mai. Très envahissant (rhizomes) et très toxique.
298;Sauge Officinale;vegetable;direct;easy;low;hardy;none;perennial;5;0;0;0;;;;3,4,9;4, 9;;Sec et calcaire.;Feuillage gris persistant. 'Qui a de la sauge dans son jardin n'a pas besoin de médecin'.
299;Sedum;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;3,4,9;3,4;;Pauvre et sec.;Plante grasse d'extérieur. Fleurs roses en automne qui attirent les abeilles.
300;Joubarbe des toits;outdoor;direct;easy;low;veryHardy;none;perennial;0;0;0;0;;;;3,4;5,6;;Rocaille.;Pousse sans terre, dans les murs ou sur les toits. Résiste à tout.
301;Yucca Gloriosa;outdoor;direct;easy;low;hardy;low;perennial;0;0;0;0;;;;3,4;3,4;;Drainant.;Attention aux pointes très piquantes. Hampes florales blanches spectaculaires.
302;Trèfle;outdoor;direct;easy;medium;veryHardy;none;perennial;5;0;0;0;;;;;4,9;;Tout sol.;Alternative écologique au gazon. Fixe l'azote dans le sol.
